node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.007158431534633911,0.0006534995494094837,0.02,3609.856457713564,72.19712915427128,-0.006649145449548615,0.00016134386792106037,0.006649145449548615,-0.33245727247743073
3,3,3,0.05017732903519102,0.011413967344319959,0.02,3609.856457713564,72.19712915427128,-0.011021055642146001,0.00018519048315973838,0.011021055642146001,-0.5510527821073
3,4,3,0.9426642394301751,0.011498825542869953,0.02,3609.856457713564,72.19712915427128,0.01767020109169462,0.00024431816633515413,0.01767020109169462,0.883510054584731
5,6,4,0.5369845034838913,0.03574690159033063,0.03574690159033063,3435.217773250645,122.79839168174553,0.04898586291069113,0.00021410514481317157,0.04898586291069113,1.3703526943980393
5,7,4,0.10776853034082362,0.009989721587597675,0.02,3435.217773250645,68.70435546501291,-0.06313680203033248,0.0001879364410831774,0.06313680203033248,-3.156840101516624
5,8,4,0.18072972662815015,0.02035284610895186,0.02035284610895186,3435.217773250645,69.91645868970666,0.02229480315925837,0.0001774739410284784,0.02229480315925837,1.0954145204022534
5,9,4,0.17451723954713502,0.016168359789300486,0.02,3435.217773250645,68.70435546501291,-0.00814386403961717,0.00017782680661026257,0.00814386403961717,-0.40719320198085845
6,10,3,0.6012254026777765,0.10229522197103351,0.10229522197103351,2052.6306862111833,209.9743116705278,-0.03516199369341313,0.0003166924222986732,0.03516199369341313,-0.34373055765370736
6,11,3,0.2837241346379164,0.09433253409938236,0.09433253409938236,2052.6306862111833,193.62985420045507,-0.014123154220053403,0.00027835294070091966,0.014123154220053403,-0.1497166842266127
6,12,3,0.11505046268430724,0.04761450253257635,0.04761450253257635,2052.6306862111833,97.73498900704631,0.04928514791346653,0.0003038106897983645,0.04928514791346653,1.035086901931763
7,13,2,0.7401777724476313,0.034515335576465085,0.034515335576465085,4901.947173277959,169.1923516637932,0.02612491443563503,0.00011207184769757458,0.02612491443563503,0.756907444163712
7,14,2,0.2598222275523688,0.034515335576465085,0.034515335576465085,4901.947173277959,169.1923516637932,-0.026124914435635072,0.00011207184769757468,0.026124914435635072,-0.7569074441637132
8,15,2,0.02124610079244569,0.008975757835189252,0.02,8556.780555726487,171.13561111452975,-0.014961299149416673,8.220410301176339e-05,0.014961299149416673,-0.7480649574708336
8,16,2,0.9787538992075544,0.008975757835189252,0.02,8556.780555726487,171.13561111452975,0.014961299149416565,8.220410301176344e-05,0.014961299149416565,0.7480649574708282
9,17,2,0.03751438883169281,0.015314756197241366,0.02,2522.7314539353656,50.45462907870731,-0.016759469055816423,0.00026198328980809275,0.016759469055816423,-0.8379734527908211
9,18,2,0.9624856111683071,0.015314756197241366,0.02,2522.7314539353656,50.45462907870731,0.016759469055816514,0.0002619832898080932,0.016759469055816514,0.8379734527908257
10,19,2,0.6740595873644741,0.1447354561886962,0.1447354561886962,553.5500687466039,80.11832172332386,0.01713379263186555,0.0009793051679469302,0.01713379263186555,0.11838006445032848
10,20,2,0.3259404126355258,0.1447354561886962,0.1447354561886962,553.5500687466039,80.11832172332386,-0.0171337926318655,0.0009793051679469304,0.0171337926318655,-0.11838006445032812
12,21,2,0.9924145476744438,0.0072748637426220475,0.02,62.22446968766143,1.2444893937532286,0.0034775311896153415,0.005278881049808704,0.005353756291751882,0.17387655948076708
12,22,2,0.007585452325556174,0.007274863742622048,0.02,62.22446968766143,1.2444893937532286,-0.0034775311896153207,0.005278881049808703,0.005353756291751869,-0.17387655948076602
16,23,2,0.49737640802329575,0.1613471768684677,0.1613471768684677,35.105691419789615,5.664204202598643,-0.026337068477190057,0.0142831107176147,0.026683950635788458,-0.16323228573537654
16,24,2,0.5026235919767043,0.1613471768684677,0.1613471768684677,35.105691419789615,5.664204202598643,0.026337068477190057,0.0142831107176147,0.026683950635788458,0.16323228573537654
18,26,3,0.32410813152273543,0.03451260324897885,0.03451260324897885,6206.524455894212,214.20331610136125,0.013577982786524695,9.45064037031002e-05,0.013577982786524695,0.3934209972099522
18,27,3,0.3099522776497656,0.06839776273146325,0.06839776273146325,6206.524455894212,424.5123871212764,-0.008340404500986928,9.262300822261013e-05,0.008340404500986928,-0.12193972679679928
18,28,3,0.36593959082749905,0.042819786014014566,0.042819786014014566,6206.524455894212,265.76204909213834,-0.0052375782855378,9.353383727767795e-05,0.0052375782855378,-0.12231677859911731
19,29,2,0.6960443230376882,0.1411217680234271,0.1411217680234271,1778.3200540333796,250.95967013670696,-0.03482880999080303,0.000297859004299242,0.03482880999080303,-0.2467996998522668
19,30,2,0.30395567696231196,0.1411217680234271,0.1411217680234271,1778.3200540333796,250.95967013670696,0.0348288099908029,0.0002978590042992417,0.0348288099908029,0.24679969985226588
20,31,2,0.034070889312231366,0.017949318236234402,0.02,1988.39935984619,39.7679871969238,-0.0013444056650108664,0.0003480615865565588,0.0013444148218208275,-0.06722028325054331
20,32,2,0.9659291106877687,0.017949318236234402,0.02,1988.39935984619,39.7679871969238,0.0013444056650108378,0.00034806158655655895,0.0013444148218207989,0.06722028325054188
21,33,2,0.9998029562183359,0.00013589444080945796,0.02,1924.0673975671264,38.48134795134253,-8.773025677402461e-05,0.00020938567439843868,0.00017836649830620826,-0.00438651283870123
21,34,2,0.00019704378166412697,0.000135894440809458,0.02,1924.0673975671264,38.48134795134253,8.773025677395328e-05,0.00020938567439843868,0.00017836649830619083,0.004386512838697664
22,35,2,0.04734969844672231,0.021332742128869635,0.021332742128869635,1018.9086718142506,21.73611594868247,-0.0019407827839263462,0.0006600134899200531,0.001941152067441965,-0.09097671420777555
22,36,2,0.9526503015532777,0.021332742128869635,0.021332742128869635,1018.9086718142506,21.73611594868247,0.001940782783926359,0.000660013489920053,0.0019411520674419776,0.09097671420777614
23,37,2,0.9995041014454555,0.00031144534219302737,0.02,969.4640077895612,19.389280155791223,-9.537917633593135e-05,0.0003791051628749524,0.00030742031591019414,-0.004768958816796567
23,38,2,0.0004958985545444994,0.00031144534219302666,0.02,969.4640077895612,19.389280155791223,9.537917633589159e-05,0.0003791051628749524,0.0003074203159101919,0.004768958816794579
24,39,9,0.14833250085723465,0.041621615016941574,0.041621615016941574,8371.287418797983,348.4265021413762,0.008907589309298351,7.904802176036268e-05,0.008907589309298351,0.21401354333974368
24,40,9,0.014351320047030167,0.003170613564621096,0.02,8371.287418797983,167.42574837595967,0.0021098399294230755,8.326645689026943e-05,0.0021098399294230755,0.10549199647115377
24,41,9,0.1804891378462728,0.050797048478829564,0.050797048478829564,8371.287418797983,425.2366928428972,0.01000129783007826,8.01492029278693e-05,0.01000129783007826,0.19688738085336696
24,42,9,0.007804999298519885,0.002038215109861093,0.02,8371.287418797983,167.42574837595967,0.0014864665189719846,7.424191438219658e-05,0.0014864665189719846,0.07432332594859922
24,43,9,0.23850810824530952,0.06799071493153541,0.06799071493153541,8371.287418797983,569.1698165014426,0.01519030107025535,8.39291010726535e-05,0.01519030107025535,0.22341728698619395
24,44,9,0.3134370549407026,0.048702790286438646,0.048702790286438646,8371.287418797983,407.70505558522046,0.013682385221918085,9.043948293550183e-05,0.013682385221918085,0.28093637225807905
24,45,9,0.04679005146158983,0.007650156481923253,0.02,8371.287418797983,167.42574837595967,0.0012072554893764308,8.177349947657733e-05,0.0012072554893764308,0.06036277446882154
24,46,9,0.008345941488297783,0.0022584583778386875,0.02,8371.287418797983,167.42574837595967,4.468925984671943e-06,7.799672055747006e-05,6.246780326980292e-05,0.00022344629923359713
24,71,9,0.04194088581504277,0.03361932280471442,0.03361932280471442,8371.287418797983,281.4370140236139,-0.05258960429530613,5.065981350559621e-05,0.05258960429530613,-1.564267210282163
25,47,9,0.05255660883120588,0.004102213522362588,0.02,2516.7764628599807,50.33552925719962,0.0024231332201132723,0.00027181529502980035,0.0024231332201132723,0.12115666100566361
25,48,9,0.5108859441472935,0.01944501450230733,0.02,2516.7764628599807,50.33552925719962,0.00352249096526412,0.00039823945774997236,0.00352249096526412,0.176124548263206
25,49,9,0.002121385882725696,0.00015111382232391803,0.02,2516.7764628599807,50.33552925719962,-0.0001644822878082404,0.00022058013976187878,0.00022357179649044743,-0.00822411439041202
25,50,9,0.20780108413190124,0.012575958102902894,0.02,2516.7764628599807,50.33552925719962,-0.0024022355989627756,0.0002610959438100223,0.0024022355989627756,-0.12011177994813878
25,51,9,0.0028852112042153013,0.00020557935786930735,0.02,2516.7764628599807,50.33552925719962,0.0003199065037250333,0.0002257285103884293,0.0003354997515722748,0.015995325186251665
25,52,9,0.016385731218506575,0.0011588028187385195,0.02,2516.7764628599807,50.33552925719962,0.0014227553800025732,0.00023708699668950755,0.0014227553800025732,0.07113776900012866
25,53,9,0.0029366306781704464,0.00021243783296386566,0.02,2516.7764628599807,50.33552925719962,0.0001503222750906923,0.00022315213019214762,0.00021786777743491598,0.007516113754534614
25,54,9,0.10384477534703754,0.006591767775362055,0.02,2516.7764628599807,50.33552925719962,-0.002690545275853576,0.0002632403967140774,0.002690545275853576,-0.1345272637926788
25,70,9,0.10058262855894361,0.009585747942396956,0.02,2516.7764628599807,50.33552925719962,-0.002581345181570866,0.00025830281362945674,0.002581345181570866,-0.1290672590785433
28,57,2,0.33342264338380534,0.03087719144518409,0.03087719144518409,4.972967212061875,0.15355126065745792,0.003829343285746816,0.020952118764405385,0.017081251079614827,0.12401851031513031
28,63,2,0.6665773566161947,0.03087719144518409,0.03087719144518409,4.972967212061875,0.15355126065745792,-0.003829343285746816,0.020952118764405385,0.017081251079614827,-0.12401851031513031
29,58,2,0.3334135310181926,0.029844505661240427,0.029844505661240427,560.7012545540222,16.733851765802125,-0.0005561459388506965,0.0009413766293855829,0.0008769441567745298,-0.01863478474609056
