flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.004775358944010327,0.7784985770191614,0.06080207569330276,0.16069934728753588,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,observation-driven,164.0699659668255,0.7110522312384115,228.6054893464577,64.55782058819955,0.9998786875745262,-0.9996546164606519
1,import_of_bauxite -> bauxite,0.0009499170964465501,0.009784038408653242,0.18235907783082164,0.8078568837605251,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,4127.293056570292,0.7031714045744681,4362.65601236473,322.9367746193885,0.9999952588096069,-0.7288205441199296
2,bauxite -> export_bauxite,2.8468038034411682,0.9757531496972311,0.023850801648041105,0.000269564437295798,0.00012648421743199537,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,6.627877824012838,0.5866752305146358,32.75518836465733,2.8153956344196884,0.9565773184537477,-9.280155947258145
3,bauxite -> bauxite_non_aluminum_use,0.005132105936900554,0.724382970339258,0.05914321901894877,0.14952868759946375,0.06694512304232936,0.0,1,observation_2022,164.00915,164.00915,0.0,observation-driven,174.92022591678122,0.7038616647747967,229.71707039021993,62.34641422358111,0.9998725465301228,-0.8789093190978264
4,bauxite -> bauxite_refining_to_alumina,0.0019732228766513225,0.0047100737917867294,0.17636244042855445,0.8183580896572228,0.0005693961224361077,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,4097.369465722159,0.7060356118621256,4328.94389437714,333.1589270027301,0.9999955089250311,-0.6950869686679113
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.003242129324495669,0.0,0.2679377180057169,0.7320622819942831,0.0,0.0,0,,,,,structure-determined,1412.2072664886787,0.6980570377454541,1316.7476650255448,110.89528931364471,0.9999603762455748,0.860808444199517
6,bauxite_refining_to_alumina -> waste_bauxite,0.0010919435894349776,0.028137031127905922,0.1685088966927229,0.7760527619166087,0.027301310262762505,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2360.026400673589,0.724192255794136,2333.250575706892,348.0425707419601,0.9999956704474322,0.0769326146212971
7,bauxite_refining_to_alumina -> export_alumina,0.004873816166306849,0.6776920005454835,0.10721736017071162,0.17386906061339494,0.04122157867040999,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,222.97803322111955,0.7090007218329385,464.85315675068966,38.81095549476395,0.9996662781173276,-6.23213524238541
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0014386717006576052,0.12536017030009194,0.17069283641924213,0.5890196061066659,0.114927387174,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,814.2517162144487,0.6973276012563264,779.7895787548996,91.82880616473703,0.9999423345301898,0.37528678525696496
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004886253282228023,0.06585752529145102,0.2396489624358082,0.659164853767138,0.03532865850560276,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,684.3314553896173,0.6972561586614725,752.7771868631121,62.778721218918015,0.9998766441393035,-1.0902696032118133
