flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.0011963448897843404,0.29512479952028714,0.004731123742076329,0.7001440767376365,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,156.78684365640288,50.76385555591346,229.89165605096335,63.19658473332025,0.35475896108110394,-1.1567842266010322
1,import_of_bauxite -> bauxite,0.0008782386073812636,0.04233029738641249,0.003926857243298413,0.9537428453702891,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3219.418232073657,137.25015829933824,4353.45381563838,181.6023479782521,0.428807114533834,-6.244608597794836
2,bauxite -> export_bauxite,2.9462701239768596,0.999119214696405,0.00046305506408486803,0.0002842963316572073,0.00013343390785287178,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,6.013882059296878,0.5704935156019689,32.82196449108579,2.757666018073857,0.9572025306085199,-9.721294114692506
3,bauxite -> bauxite_non_aluminum_use,0.0015716184580488106,0.2246544280175144,0.003615303907107004,0.5329625546379478,0.2387677134374308,0.0,1,observation_2022,164.00915,164.00915,0.0,structure-determined,173.45507299011754,36.55519571661962,228.35278509822302,63.80389905484051,0.6717507152780289,-0.8604131239835356
4,bauxite -> bauxite_refining_to_alumina,0.0017733711081214915,0.00038615134763757356,0.0038615972197818863,0.9950685369125489,0.0006837145200315239,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,3192.581815736874,139.9375270698905,4323.083475070617,204.95452383237895,0.5338202844554039,-5.515865852555264
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.0024676389269740365,0.0,0.007939773372155103,0.9920602266278449,0.0,0.0,0,,,,,structure-determined,1212.5956689737397,181.22463060067463,1316.6145607598844,56.47715628035028,-9.296480565031727,-1.84178699206807
6,bauxite_refining_to_alumina -> waste_bauxite,0.0009754301676909947,0.0023207888075709357,0.003719968450939002,0.9503622466772615,0.0435969960642285,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,1766.1482720617373,116.57754907742473,2320.9555161767867,236.55698831640098,0.7571387219469359,-2.3453428624690664
7,bauxite_refining_to_alumina -> export_alumina,0.004670069644237189,0.7494980722569349,0.002147425222064235,0.19850068120236997,0.049853821318631024,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,186.4346224766229,16.387389054934033,464.77139522715703,39.384366033577514,0.826870206585498,-7.067189364257773
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0013219478158133014,0.14457704256351905,0.0036111501801566756,0.7012470496600249,0.15056475759629942,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,668.4548413844925,48.747319377806434,779.4436423141839,91.43173699477364,0.715745376973578,-1.213897980917016
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.003940370011544628,0.08654395758271231,0.005827927495316178,0.8565333785621113,0.05109473635986007,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,569.0982230870204,41.722261334965516,758.0083207957487,61.8228600429095,0.5445533698202135,-3.055667395161128
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.0025026378951876938,0.0016084297304417143,0.006539210263596281,0.9781864319392298,0.013665928066732093,0.0,1,observation_2022,1352.934,1352.934,0.0,structure-determined,868.3865817170663,162.5476633547776,971.9884845900453,174.8128400313935,0.13540084902319283,-0.5926446984922495
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0031613273687557944,0.002208921736346765,0.005582025347841711,0.822285749028757,0.016454954159838765,0.15346834972721585,1,observation_2022,528.7105257,528.7105257,0.0,structure-determined,653.9494574513137,67.4907813835617,790.3914932944954,127.59996216017461,0.7202385814959829,-1.069295268848965
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.004827223021174435,0.003662310648522366,0.005511494350413331,0.8614066850852381,0.028913754929516103,0.10050575498631008,1,observation_2022,332.2894743,332.2894743,0.0,structure-determined,259.1973728684329,60.527884090189,313.1389931216936,99.9526745216045,0.6332905128501909,-0.5396716047012964
13,import_unwrought_aluminum_ingot -> remelting,0.000259586509179307,0.19242796129022977,0.0036710021726486185,0.5834972344741077,0.10467801414587798,0.11572578791713578,1,observation_2022,2829.794168,2829.794168,0.0,structure-determined,2723.9656016956933,96.53623419964593,3592.2142315800734,193.3548994249822,0.7507298101957547,-4.4904402860566925
14,import_unwrought_aluminum_ingot -> refining,0.002118564849488997,0.10832655580462636,0.004811089457499616,0.8072236958523866,0.06545884592640797,0.014179812959079366,1,observation_2022,1320.205832,1320.205832,0.0,structure-determined,1252.748391914621,51.2000317193816,1589.0230093686755,92.16070924774019,0.6913623927357087,-3.6487850429851174
15,remelting -> loss_remelting,0.0002265275527934446,0.0,0.007715306866521128,0.668651598205481,0.3236330949279977,0.0,0,,,,,structure-determined,161.86340335760113,93.42419536135183,159.91037255540172,97.58075228309573,0.08337772201899385,0.020014508563465316
16,remelting -> wrought_aluminum_ingot,0.000304543866728257,0.0003774979645988233,0.00483712431202236,0.9947207459310953,6.463179228360634e-05,0.0,1,observation_2022,8005.61,8005.61,0.0,structure-determined,9640.031970872955,424.68523964084534,9778.56276562939,777.4528101134325,0.7016086299443602,-0.17818547049334382
17,refining -> loss_refining,0.0025227623611761103,0.0,0.0050832547701717785,0.6778901469380532,0.31702659829177504,0.0,0,,,,,structure-determined,84.48356517877146,34.369823842776874,89.07317259744157,52.077583598075535,0.5644350116386517,-0.0881301915636446
18,refining -> cast_aluminum_ingot,0.0035044955660976378,0.0003390634557639762,0.005346319645443396,0.9940509365925899,0.0002636803062027465,0.0,1,observation_2022,2490.138,2490.138,0.0,structure-determined,2506.1518238632225,180.40237644334675,2607.210044408985,131.399744943028,-0.8849310302626712,-0.7690899292809072
19,alloying_element_si -> remelting,0.00018163336236968263,0.0,0.010124737934093611,0.833921743432943,0.15595351863296344,0.0,0,,,,,structure-determined,1078.2919145112485,364.38544697600133,319.23877033415454,92.99206685655929,-14.354307928783172,8.162558052913665
20,alloying_element_si -> refining,0.0018838604365500947,0.0,0.00648977706961191,0.9077932284831375,0.08571699444725057,0.0,0,,,,,structure-determined,446.2493996255638,159.714980299466,131.39093922059712,53.7558867456049,-7.827530848708115,5.85719033703243
21,alloying_element_mg -> remelting,0.00016631656861634212,0.0,0.054142320238803894,0.9107211113904025,0.035136568370793576,0.0,0,,,,,structure-determined,438.0733038453652,241.0319162720561,80.73564793856336,35.185223418934285,-45.92761481991184,10.1559012899292
22,alloying_element_mg -> refining,0.2333093624978467,0.0,0.3955438152713876,0.007329991944593509,0.5971261927840189,0.0,0,,,,,structure-determined,2.6078104016148727,1.6835875613453568,0.42571222774303297,0.33398663547138563,-24.410501672360603,6.533489493650087
23,alloying_element_other -> remelting,0.006838683329699258,0.0,0.013899448527647231,0.022148709467963372,0.9639518420043893,0.0,0,,,,,structure-determined,73.03429909152298,48.710649179979114,20.86220822101034,10.410000763705632,-20.89506870929456,5.011727861962329
24,alloying_element_other -> refining,0.008486049721269734,0.0,0.012408550723789505,0.20152553942985613,0.7860659098463543,0.0,0,,,,,structure-determined,72.62123547772212,48.53638055147219,20.7178737267433,10.345596927301678,-21.010183647749045,5.016951860361737
25,import_scrap -> eol_scrap_generated,0.001105173602077249,0.7713444258653259,0.006976356353695179,0.22167921778097896,0.0,0.0,1,observation_2022,685.0,685.0,0.0,observation-driven,683.7570215276215,33.16231814622115,719.2217609663195,44.30134096525404,0.4396543322906499,-0.8005342200930958
26,eol_scrap_generated -> export_eol_scrap,0.00036831108735527825,0.2715096108511622,0.010085357121875253,0.665182309280705,0.053222722746257514,0.0,1,observation_2022,2000.0,2000.0,0.0,structure-determined,1926.6353917413812,90.84372668016312,1572.6152036440599,95.28251039432442,0.09100079771751546,3.715479227323222
27,eol_scrap_generated -> loss_eol_scrap,0.00025612151047199806,0.0,0.010097138244153935,0.956553860584298,0.03334900117154795,0.0,0,,,,,structure-determined,2031.670313581228,323.08788983242783,1790.146797151055,534.4156890375746,0.6345037201651418,0.45193941978973523
28,eol_scrap_generated -> eol_scrap_recycled,0.004231675606213343,0.009905713373992913,0.005108273694548272,0.9825892376463429,0.0023967752851159633,0.0,1,observation_2022,1590.0,1590.0,0.0,structure-determined,1800.3463240886322,134.40087374284758,2033.860680524858,187.13560928948561,0.48418815245806834,-1.2478349648302134
