flow_idx,from_node,to_node,from_node_name,to_node_name,value_1,value_2,value_3,value_4,year,map_estimate,posterior_mean,lower_bound,upper_bound
0,1,3,bauxite_mining,bauxite,164.00915,,,,2022,157.4694097370923,156.78684365640288,32.80183,295.21647
1,2,3,import_of_bauxite,bauxite,3280.183,,,,2022,3220.5099093471276,3219.418232073657,656.0366,5904.3294000000005
2,3,85,bauxite,export_bauxite,6.0,,,,2022,6.013056917554606,6.013882059296878,1.2000000000000002,10.8
3,3,86,bauxite,bauxite_non_aluminum_use,164.00915,,,,2022,174.83128251891293,173.45507299011754,32.80183,295.21647
4,3,5,bauxite,bauxite_refining_to_alumina,3280.183,,,,2022,3193.68847725739,3192.581815736874,656.0366,5904.3294000000005
5,4,6,import_alumina,primary_smelting_hall_hauroult_to_aluminum,,,,,2022,1210.1643563856046,1212.5956689737397,0.0,14410.098
6,5,87,bauxite_refining_to_alumina,waste_bauxite,1804.10065,,,,2022,1766.565325596423,1766.1482720617373,360.82013000000006,3247.38117
7,5,88,bauxite_refining_to_alumina,export_alumina,174.0,,,,2022,186.71987298556763,186.4346224766229,34.800000000000004,313.2
8,5,89,bauxite_refining_to_alumina,alumina_non_aluminum_use,744.628,,,,2022,667.4649023228715,668.4548413844925,148.9256,1340.3304
9,5,6,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,557.45435,,,,2022,570.3004620439144,569.0982230870204,111.49087,1003.41783
10,6,90,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,1352.934,,,,2022,865.4826637085033,868.3865817170663,270.5868,2435.2812
11,6,8,primary_smelting_hall_hauroult_to_aluminum,remelting,528.7105257,,,,2022,652.7433183234068,653.9494574513137,105.74210513999999,951.67894626
12,6,9,primary_smelting_hall_hauroult_to_aluminum,refining,332.2894743,,,,2022,261.8918484157359,259.1973728684329,66.45789486,598.12105374
13,7,8,import_unwrought_aluminum_ingot,remelting,2829.794168,,,,2022,2724.1039028865525,2723.9656016956933,565.9588335999999,5093.629502399999
14,7,9,import_unwrought_aluminum_ingot,refining,1320.205832,,,,2022,1253.5370652101492,1252.748391914621,264.0411664,2376.3704976000004
15,8,91,remelting,loss_remelting,,,,,2022,135.11419039402418,161.86340335760113,0.0,14410.098
16,8,24,remelting,wrought_aluminum_ingot,8005.61,,,,2022,9451.723522723949,9640.031970872955,1601.122,14410.098
