flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,observation_2022,164.00915,1.0,2.0,4.0,53.21927428162799,0.32448966586088634
1,import_of_bauxite -> bauxite,observation_2022,3280.183,4.0,3.0,4.0,164.00915,0.05
2,bauxite -> export_bauxite,observation_2022,6.0,4.0,3.0,4.0,0.5828476683251457,0.09714127805419094
3,bauxite -> bauxite_non_aluminum_use,observation_2022,164.00915,1.0,2.0,4.0,53.21927428162799,0.32448966586088634
4,bauxite -> bauxite_refining_to_alumina,observation_2022,3280.183,1.0,1.0,4.0,1208.429749330472,0.3684031498640387
6,bauxite_refining_to_alumina -> waste_bauxite,observation_2022,1804.10065,1.0,1.0,4.0,664.6363621317597,0.3684031498640387
7,bauxite_refining_to_alumina -> export_alumina,observation_2022,174.0,4.0,3.0,4.0,16.902582381429223,0.09714127805419094
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,observation_2022,744.628,4.0,3.0,4.0,72.3341155949361,0.09714127805419094
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,observation_2022,557.45435,4.0,3.0,4.0,54.151828015868276,0.09714127805419094
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,observation_2022,1352.934,1.0,1.0,4.0,498.4251471581533,0.3684031498640387
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,observation_2022,528.7105257,1.0,1.0,3.0,378.4208875834595,0.7157430563396471
12,primary_smelting_hall_hauroult_to_aluminum -> refining,observation_2022,332.2894743,1.0,1.0,3.0,237.83388392497662,0.7157430563396471
13,import_unwrought_aluminum_ingot -> remelting,observation_2022,2829.794168,1.0,1.0,3.0,141.4897084,0.05
14,import_unwrought_aluminum_ingot -> refining,observation_2022,1320.205832,1.0,1.0,3.0,66.0102916,0.049999999999999996
16,remelting -> wrought_aluminum_ingot,observation_2022,8005.61,1.0,1.0,4.0,2949.2919405830467,0.3684031498640387
18,refining -> cast_aluminum_ingot,observation_2022,2490.138,1.0,1.0,4.0,917.3746827961376,0.3684031498640387
25,import_scrap -> eol_scrap_generated,observation_2022,685.0,4.0,3.0,4.0,34.25,0.05
26,eol_scrap_generated -> export_eol_scrap,observation_2022,2000.0,4.0,3.0,4.0,100.0,0.05
28,eol_scrap_generated -> eol_scrap_recycled,observation_2022,1590.0,4.0,3.0,4.0,154.4546321061636,0.09714127805419094
32,forming_scrap_generated -> forming_scrap_recycled,observation_2022,2083.0,1.0,1.0,3.0,1490.8927863554848,0.7157430563396471
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,observation_2022,300.0,4.0,3.0,4.0,29.14238341625728,0.09714127805419094
131,import_mill_semifinished_products -> rolling,observation_2022,1460.0,1.0,1.0,3.0,73.0,0.05
132,import_mill_semifinished_products -> extrusion,observation_2022,44.39,1.0,1.0,3.0,2.2195,0.05
136,import_mill_semifinished_products -> foil,observation_2022,148.0,1.0,1.0,3.0,7.4,0.05
138,import_mill_semifinished_products -> wire,observation_2022,7.16,1.0,1.0,3.0,0.35800000000000004,0.05
140,import_mill_semifinished_products -> powerder_paste,observation_2022,18.6,1.0,1.0,3.0,0.9300000000000002,0.05
142,rolling -> sheet_plate,observation_2022,4002.691813,1.0,1.0,3.0,2864.898871822303,0.7157430563396471
144,rolling -> export_milling_semifinished_products,observation_2022,826.6,1.0,1.0,3.0,591.6332103703523,0.7157430563396472
147,extrusion -> extruded_products,observation_2022,2873.886133,1.0,1.0,3.0,2056.9640444055494,0.7157430563396471
148,extrusion -> export_milling_semifinished_products,observation_2022,51.1,1.0,1.0,3.0,36.57447017895597,0.7157430563396472
152,drawing -> export_milling_semifinished_products,observation_2022,8.36,1.0,1.0,3.0,5.983611950999449,0.7157430563396471
155,other_milling_processes -> forging_impacts,observation_2022,149.1596564,1.0,1.0,3.0,106.7599883543076,0.7157430563396471
157,other_milling_processes -> export_milling_semifinished_products,observation_2022,65.8,1.0,1.0,3.0,47.095893107148775,0.7157430563396471
211,building_construction -> consumption_building_construction,observation_2022,1405.574107,1.0,3.0,2.0,886.1116105333276,0.6304268171420774
213,transportation_auto -> consumption_transportation_auto,observation_2022,1737.166733,1.0,3.0,2.0,1095.156494330291,0.6304268171420774
215,transportation_other -> consumption_transportation_other,observation_2022,918.4631329,1.0,3.0,2.0,579.0237895364878,0.6304268171420774
217,machine_industry -> consumption_machine_industry,observation_2022,736.4747668,1.0,3.0,2.0,464.29344313917767,0.6304268171420774
