node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.00716833702289624,0.0005501146091863423,0.02,3502.1599877149015,70.04319975429803,-0.005259426442390131,0.0003298650752826118,0.005259426442390131,-0.2629713221195065
3,3,3,0.049862454186204,0.011465192595054085,0.02,3502.1599877149015,70.04319975429803,0.0018315700413501837,0.010226356464201258,0.008311581811624294,0.09157850206750918
3,4,3,0.9429692087908997,0.011495558918200798,0.02,3502.1599877149015,70.04319975429803,0.0034278564010399564,0.010237517564505213,0.008599370042688103,0.17139282005199782
5,6,4,0.5361595903246611,0.02816810263254595,0.02816810263254595,3328.8247436907186,93.76667702603862,0.017876696755110978,0.018249975659489128,0.02090193666304471,0.6346432696697119
5,7,4,0.10767361335032928,0.008549699041773662,0.02,3328.8247436907186,66.57649487381437,-0.04785009971647988,0.006303371732964811,0.04785009971647988,-2.392504985823994
5,8,4,0.18055738387501136,0.01854654414803578,0.02,3328.8247436907186,66.57649487381437,0.027763450389516962,0.013628198271784832,0.027998319328372077,1.388172519475848
5,9,4,0.1756094124499982,0.013572642845201155,0.02,3328.8247436907186,66.57649487381437,0.002209952571852154,0.011869899203136334,0.009664435386810838,0.1104976285926077
6,10,3,0.46778889314325955,0.06327385151113493,0.06327385151113493,1944.9723487792633,123.06589158992244,0.0224981447735748,0.0361359923648813,0.0340507638911639,0.3555678093914605
6,11,3,0.38122385291310307,0.051698958154239395,0.051698958154239395,1944.9723487792633,100.55304407069184,-0.0199960102641503,0.037166576935751774,0.034045136364566894,-0.38677781870369465
6,12,3,0.1509872539436374,0.039537810454176495,0.039537810454176495,1944.9723487792633,76.89994806464897,-0.0025021345094246366,0.03157004289302231,0.025404519388916694,-0.06328459974597124
7,13,2,0.6931672175033361,0.013996507466370298,0.02,4202.893511508535,84.0578702301707,-0.008676636960674462,0.00976467935805815,0.010715281991589156,-0.43383184803372304
7,14,2,0.30683278249666385,0.013996507466370298,0.02,4202.893511508535,84.0578702301707,0.008676636960674495,0.00976467935805815,0.010715281991589182,0.4338318480337247
8,15,2,0.016121393038384304,0.008025771017085966,0.02,7928.004509393404,158.5600901878681,0.0001034015431583227,0.010816646516983268,0.008733043554900354,0.005170077157916135
8,16,2,0.9838786069616158,0.008025771017085966,0.02,7928.004509393404,158.5600901878681,-0.00010340154315841059,0.010816646516983268,0.00873304355490034,-0.0051700771579205294
9,17,2,0.03287371383037022,0.01532020046595039,0.02,2518.546856700515,50.370937134010305,-0.0006401630815525351,0.013480186127685194,0.011022896734917003,-0.032008154077626756
9,18,2,0.9671262861696298,0.01532020046595039,0.02,2518.546856700515,50.370937134010305,0.0006401630815525026,0.013480186127685194,0.011022896734917007,0.03200815407762513
10,19,2,0.7048061740245867,0.10126825273558145,0.10126825273558145,576.2762601723987,58.35848996065416,-0.003717587631770456,0.06867877675277978,0.05507009182024155,-0.03671029697211563
10,20,2,0.29519382597541327,0.10126825273558145,0.10126825273558145,576.2762601723987,58.35848996065416,0.003717587631770572,0.06867877675277978,0.05507009182024153,0.03671029697211678
12,21,2,0.9935650586125245,0.006208984891317458,0.02,122.01029321433019,2.440205864286604,0.00019729241853624687,0.007604036639265404,0.006062810014057876,0.009864620926812343
12,22,2,0.006434941387475459,0.006208984891317458,0.02,122.01029321433019,2.440205864286604,-0.00019729241853623373,0.007604036639265402,0.006062810014057871,-0.009864620926811686
16,23,2,0.5014784576000925,0.16001384462035226,0.16001384462035226,49.10472123985493,7.857435234599858,-0.007499933133161799,0.10588387465807075,0.08434278585757583,-0.04687052642823556
16,24,2,0.4985215423999075,0.16001384462035226,0.16001384462035226,49.10472123985493,7.857435234599858,0.007499933133161937,0.10588387465807075,0.08434278585757582,0.04687052642823642
18,26,3,0.2933167207606753,0.02732448672705284,0.02732448672705284,6011.62033621584,164.26444008501065,0.036234325616516766,0.01796240852582435,0.03654248464134009,1.3260752517866206
18,27,3,0.32769192345699244,0.05808024133360509,0.05808024133360509,6011.62033621584,349.1563599334242,0.020248697177622392,0.03349877219385232,0.03114678704499422,0.3486331446406464
18,28,3,0.37899135578233234,0.03801075307876972,0.03801075307876972,6011.62033621584,228.50621620321093,-0.056483022794138915,0.023416297600909335,0.05660886305482353,-1.4859748418319703
19,29,2,0.6885046138796663,0.0755679232688576,0.0755679232688576,1621.3064271215037,122.51875968002345,-0.005648165564143584,0.0504875350105102,0.04040255102967476,-0.0747428977775185
19,30,2,0.3114953861203337,0.07556792326885758,0.07556792326885758,1621.3064271215037,122.51875968002344,0.005648165564143584,0.0504875350105102,0.04040255102967476,0.07474289777751851
20,31,2,0.027692702904310522,0.015407818593208972,0.02,2068.637608356776,41.37275216713552,-0.0002158595922168369,0.013164423135252463,0.010598917011520404,-0.010792979610841845
20,32,2,0.9723072970956895,0.015407818593208972,0.02,2068.637608356776,41.37275216713552,0.00021585959221678187,0.013164423135252463,0.010598917011520397,0.010792979610839094
21,33,2,0.9998191336830294,0.00012223119672259456,0.02,2025.9930812332689,40.51986162466538,-0.0004165969486117957,0.00045437097647190437,0.0004560660676453895,-0.020829847430589785
21,34,2,0.0001808663169705188,0.00012223119672259534,0.02,2025.9930812332689,40.51986162466538,0.00041659694861184655,0.00045437097647190426,0.00045606606764542174,0.020829847430592328
22,35,2,0.044097157067939936,0.02081468514978585,0.02081468514978585,965.3719466235689,20.093913121405457,-0.00011875519415879937,0.01439972670366344,0.011491971235163836,-0.0057053562570953025
22,36,2,0.9559028429320601,0.02081468514978585,0.02081468514978585,965.3719466235689,20.093913121405457,0.00011875519415879346,0.01439972670366344,0.011491971235163838,0.005705356257095019
23,37,2,0.9994949551243176,0.00031170676511717093,0.02,934.9742419788556,18.699484839577114,-0.0009880705640327781,0.0009945017684952224,0.001060541348532512,-0.0494035282016389
23,38,2,0.0005050448756824789,0.0003117067651171707,0.02,934.9742419788556,18.699484839577114,0.0009880705640326814,0.0009945017684952235,0.0010605413485324504,0.04940352820163407
24,39,9,0.15297061975109505,0.046184253582349705,0.046184253582349705,7925.103555431147,366.0149922704133,0.00015198523367430605,0.03808282922335807,0.030214848797267022,0.003290845296510117
