node,flow_idx,n_out,target_share,source_share_sd,share_sigma,node_total_ref,tau_flow_units,share_dev_mean,share_dev_sd,share_dev_abs_mean,z_vs_tolerance
3,2,3,0.007158431534633911,0.0006534995494094837,0.02,3540.083765542227,70.80167531084454,-0.006750472680166699,0.00016594067789358821,0.006750472680166699,-0.33752363400833496
3,3,3,0.05017732903519102,0.011413967344319959,0.02,3540.083765542227,70.80167531084454,-0.010909763281794018,0.00019035951196143212,0.010909763281794018,-0.5454881640897009
3,4,3,0.9426642394301751,0.011498825542869953,0.02,3540.083765542227,70.80167531084454,0.017660235961960744,0.0002477622548821583,0.017660235961960744,0.8830117980980372
5,6,4,0.5369845034838913,0.03574690159033063,0.03574690159033063,3367.734421620846,120.38607095204942,0.0528910451401406,0.00021716777796689147,0.0528910451401406,1.4795980291183441
5,7,4,0.10776853034082362,0.009989721587597675,0.02,3367.734421620846,67.35468843241692,-0.06632927836583466,0.00018877027382694573,0.06632927836583466,-3.316463918291733
5,8,4,0.18072972662815015,0.02035284610895186,0.02035284610895186,3367.734421620846,68.54298041906908,0.02159287577578926,0.00018733981074787074,0.02159287577578926,1.0609265976954445
5,9,4,0.17451723954713502,0.016168359789300486,0.02,3367.734421620846,67.35468843241692,-0.008154642550095136,0.00018580333752367322,0.008154642550095136,-0.4077321275047568
6,10,3,0.6012254026777765,0.10229522197103351,0.10229522197103351,2101.975781064505,215.02207910173007,-0.031195248361423657,0.000315004268299959,0.031195248361423657,-0.30495313231987586
6,11,3,0.2837241346379164,0.09433253409938236,0.09433253409938236,2101.975781064505,198.2847020433433,-0.015652738958389225,0.00026893704012088303,0.015652738958389225,-0.16593150081072305
6,12,3,0.11505046268430724,0.04761450253257635,0.04761450253257635,2101.975781064505,100.08453115091002,0.04684798731981271,0.0002975926928831481,0.04684798731981271,0.9839016439951418
7,13,2,0.7401777724476313,0.034515335576465085,0.034515335576465085,4634.958775799714,159.97715752980892,0.02952822529818374,0.00012016590847151852,0.02952822529818374,0.8555103059266821
7,14,2,0.2598222275523688,0.034515335576465085,0.034515335576465085,4634.958775799714,159.97715752980892,-0.029528225298183795,0.00012016590847151838,0.029528225298183795,-0.8555103059266838
8,15,2,0.02124610079244569,0.008975757835189252,0.02,8294.03112086572,165.8806224173144,-0.01823468582207945,8.2750478439486e-05,0.01823468582207945,-0.9117342911039725
8,16,2,0.9787538992075544,0.008975757835189252,0.02,8294.03112086572,165.8806224173144,0.018234685822079332,8.275047843948605e-05,0.018234685822079332,0.9117342911039666
9,17,2,0.03751438883169281,0.015314756197241366,0.02,2483.0190999858246,49.66038199971649,-0.014363943274074916,0.00027364630703355803,0.014363943274074916,-0.7181971637037458
9,18,2,0.9624856111683071,0.015314756197241366,0.02,2483.0190999858246,49.66038199971649,0.014363943274075003,0.0002736463070335578,0.014363943274075003,0.7181971637037501
10,19,2,0.6740595873644741,0.1447354561886962,0.1447354561886962,606.8808181160806,87.8371720622001,-0.016360542072204026,0.0008844276316018897,0.016360542072204026,-0.11303755488132962
10,20,2,0.3259404126355258,0.1447354561886962,0.1447354561886962,606.8808181160806,87.8371720622001,0.016360542072204075,0.0008844276316018892,0.016360542072204075,0.11303755488132995
12,21,2,0.9924145476744438,0.0072748637426220475,0.02,67.27765529694179,1.3455531059388357,0.005021377943028445,0.006230652599296814,0.006792162100399873,0.2510688971514222
