flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
0,bauxite_mining -> bauxite,0.004660730947068397,0.7976453017538255,0.0311487338867992,0.17120596435937535,0.0,0.0,1,observation_2022,164.00915,164.00915,0.0,observation-driven,162.8623004730789,0.6989159605073064,228.6054893464577,64.55782058819955,0.9998827933656366,-1.0183613429694358
1,import_of_bauxite -> bauxite,0.0008938519646309613,0.010397723252201582,0.09689859874909107,0.8927036779987073,0.0,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,4071.0517041768594,0.7136335210711164,4362.65601236473,322.9367746193885,0.9999951166767116,-0.9029764681695153
2,bauxite -> export_bauxite,2.8128994084693386,0.9875140822363523,0.012069139877936806,0.00028367347016032747,0.00013310441555046626,0.0,1,observation_2022,6.0,6.0,0.0,observation-driven,6.326515000561962,0.5917965452382883,32.75518836465733,2.8153956344196884,0.9558159028271548,-9.387196968337584
3,bauxite -> bauxite_non_aluminum_use,0.005024565687858729,0.7398868625901203,0.030204527546330965,0.15880873810458276,0.07109987175896594,0.0,1,observation_2022,164.00915,164.00915,0.0,observation-driven,173.2332061161186,0.7083481076331025,229.71707039021993,62.34641422358111,0.9998709165646988,-0.9059681294828598
4,bauxite -> bauxite_refining_to_alumina,0.0018641155136271154,0.0049857561340635485,0.0933424992956986,0.901045028811107,0.0006267157591308877,0.0,1,observation_2022,3280.183,3280.183,0.0,structure-determined,4042.55983106845,0.7048119319168306,4328.94389437714,333.1589270027301,0.9999955244791359,-0.8596019499917029
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.002697657191753403,0.0,0.16100799155287818,0.8389920084471217,0.0,0.0,0,,,,,structure-determined,1436.208435712006,0.7069956031084084,1316.7476650255448,110.89528931364471,0.9999593549905196,1.0772393617964295
6,bauxite_refining_to_alumina -> waste_bauxite,0.0010354504342175016,0.029672159816194102,0.08885128801236712,0.8515203153468754,0.029956236824563352,0.0,1,observation_2022,1804.10065,1804.10065,0.0,structure-determined,2340.8420807050024,0.7065996530900728,2333.250575706892,348.0425707419601,0.9999958782456579,0.021812001278828506
7,bauxite_refining_to_alumina -> export_alumina,0.004654970833347608,0.7095525076921059,0.05612899865722279,0.18941194517364335,0.044906548477027894,0.0,1,observation_2022,174.0,174.0,0.0,observation-driven,210.6611716443891,0.6976215106395073,464.85315675068966,38.81095549476395,0.9996769043902376,-6.549490520546293
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,0.0013568802008040288,0.13291676692864363,0.09049102238938511,0.6498046620095749,0.1267875486723963,0.0,1,observation_2022,744.628,744.628,0.0,structure-determined,800.612756773347,0.7193451570580112,779.7895787548996,91.82880616473703,0.9999386355605052,0.22676084867194582
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,0.004231921488072778,0.07604029281302052,0.13835151864050485,0.7431659388166489,0.04244224972982552,0.0,1,observation_2022,557.45435,557.45435,0.0,structure-determined,675.4100616662402,0.7136467360656359,752.7771868631121,62.778721218918015,0.9998707764589465,-1.2323781640451412
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,0.002736429668647413,0.019964686160375996,0.1504429511530934,0.8271043291712813,0.0024880335152494093,0.0,1,observation_2022,1352.934,1352.934,0.0,structure-determined,1205.4099323370392,0.7167528004782492,1245.3280755541562,275.54016314093354,0.9999932334238361,-0.14487232192244723
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,0.0037001506642479263,0.09668178916259604,0.11523319866711247,0.650968297852276,0.005996730767549655,0.1311199835504658,1,observation_2022,528.7105257,528.7105257,0.0,structure-determined,566.8869365858197,0.6916298271116454,586.706937167078,238.39804371352298,0.9999915832960005,-0.08313826855507016
12,primary_smelting_hall_hauroult_to_aluminum -> refining,0.006019140339456071,0.15046391627205893,0.10881858598445489,0.6454861715484488,0.01462784017060694,0.0806034860244305,1,observation_2022,332.2894743,332.2894743,0.0,structure-determined,341.6883073791797,0.6970097691877419,237.7344716081205,119.96948151949931,0.9999662451512423,0.8665023342137478
13,import_unwrought_aluminum_ingot -> remelting,0.0002091106427470722,0.05971922576920221,0.07621980674668356,0.6951724330323035,0.025228446601716293,0.14366008785009443,1,observation_2022,2829.794168,2829.794168,0.0,structure-determined,4145.358950894472,0.7062482008034002,5479.16447686108,450.8053546831212,0.9999975456495364,-2.9587171317079024
14,import_unwrought_aluminum_ingot -> refining,0.001959011630108453,0.029287324009044356,0.10557543696678029,0.8279476259298809,0.021854914287135586,0.015334698807158697,1,observation_2022,1320.205832,1320.205832,0.0,structure-determined,1270.227673193827,0.7116629341447144,1927.2987432984776,362.14277875510027,0.9999961382066138,-1.8143978249777446
15,remelting -> loss_remelting,0.0002484477363928919,0.0,0.13464199084953407,0.5851047644948073,0.28025324465565876,0.0,0,,,,,structure-determined,70.94647239515642,0.7011724437040853,235.6343842346776,121.0269982639081,0.9999664351156006,-1.3607535029531783
16,remelting -> wrought_aluminum_ingot,0.00032854420016104914,0.007855292612888724,0.09213816836470404,0.8999066763110961,9.986271131117462e-05,0.0,1,observation_2022,6224.75,6224.75,0.0,structure-determined,10386.76180326612,0.7105591364620999,10886.172245771808,892.322925735782,0.9999993659020431,-0.5596745618677118
17,refining -> loss_refining,0.0026654473581500275,0.0,0.10963049078784366,0.6085128724669512,0.2818566367452051,0.0,0,,,,,structure-determined,61.27833441238708,0.706595106955233,106.8807739204285,54.928056719553695,0.9998345172298416,-0.8302212426861175
18,refining -> cast_aluminum_ingot,0.003708566166482649,0.004348576720412992,0.12063398220483028,0.8747096899825462,0.0003077510922104476,0.0,1,observation_2022,2490.138,2490.138,0.0,structure-determined,2522.91090422791,0.694715241280746,2728.1377061668677,136.24531777421612,0.9999740001716085,-1.5063035214102303
19,alloying_element_si -> remelting,0.0002058741906686955,0.0,0.1601324442804256,0.7061009144432553,0.13376664127631915,0.0,0,,,,,structure-determined,546.6920727493751,0.7075107577224292,245.61243419404494,119.39683265485041,0.9999648859855638,2.5216719058677564
20,alloying_element_si -> refining,0.0020254539198183395,0.0,0.14106237620662934,0.8007879184251159,0.058149705368254645,0.0,0,,,,,structure-determined,279.0820610825104,0.7106745282674555,110.69006180473113,57.406621515357294,0.9998467439871626,2.9333201437874443
21,alloying_element_mg -> remelting,0.0004182504983358402,0.0,0.5004691296588244,0.3475619392441362,0.1519689310970394,0.0,0,,,,,prior-informed,135.5916040199674,0.7009028298914081,72.20000730872995,37.01459839510513,0.9996414336391363,1.7126106849674874
22,alloying_element_mg -> refining,3.414140528236996,0.0,0.6808608137620188,0.00047507096292690435,0.3186641152750543,0.0,0,,,,,prior-informed,0.6959764095467511,0.42229373487369315,0.4303803285950865,0.339203020415005,-0.5499220438940604,0.7830003418799618
23,alloying_element_other -> remelting,0.01823887650339395,0.0,0.13625067825247705,0.007970225263841248,0.8557790964836817,0.0,0,,,,,structure-determined,26.480942260050796,0.7188477697482364,20.01545822284102,10.38023616068395,0.9952042184693907,0.6228648305419449
24,alloying_element_other -> refining,0.019525800325875586,0.0,0.1341600608569299,0.08306748001350295,0.782772459129567,0.0,0,,,,,structure-determined,27.453990131803625,0.7096528950656066,20.23843785033256,10.430454055671982,0.9953710176077293,0.691777389839258
25,import_scrap -> eol_scrap_generated,0.0005732145865432036,0.3717933552234973,0.19458518386960022,0.43362146090690235,0.0,0.0,1,observation_2022,685.0,685.0,0.0,structure-determined,675.0923947912586,0.6969858778903002,721.1044113046088,86.19979359764575,0.999934621416714,-0.5337833722447204
26,eol_scrap_generated -> export_eol_scrap,0.0004638788490988738,0.21557352786025696,0.22303666797669833,0.5358255650432358,0.025564239119809023,0.0,1,observation_2022,2000.0,2000.0,0.0,structure-determined,1887.683767526701,0.7071037586241509,1566.419665338626,96.20852901595144,0.9999459819201596,3.3392476267338975
27,eol_scrap_generated -> loss_eol_scrap,0.0003312117873706839,0.0,0.22981170908648188,0.7504507868007425,0.019737504112775563,0.0,0,,,,,structure-determined,1643.1935213146037,0.7178167782458007,1539.6976238327622,563.6238214720477,0.9999983780086635,0.18362583968068533
28,eol_scrap_generated -> eol_scrap_recycled,0.004373459438839344,0.009044418471722167,0.15733925282461894,0.8317522357997624,0.0018640929038965398,0.0,1,observation_2022,1590.0,1590.0,0.0,structure-determined,1967.9700062453146,0.7068584271074155,1771.7776857561375,199.79768360824818,0.9999874834689148,0.9819549303377295
29,eol_scrap_recycled -> remelting,0.00414558947552049,0.0,0.14666202738371176,0.8525794691361379,0.0007585034801502741,0.0,0,,,,,structure-determined,1310.2568572400644,0.7160897584192129,1236.1987574603986,344.711131253341,0.999995684567683,0.2148410453425066
30,eol_scrap_recycled -> refining,0.005813024656925629,0.0,0.1351275880741638,0.8620358323014109,0.002836579624425262,0.0,0,,,,,structure-determined,661.9555990500259,0.7123069460913128,536.6488556409581,302.3224386114101,0.9999944487141007,0.4144804599506775
31,forming_scrap_generated -> loss_forming_scrap,0.004262888247336214,0.0,0.0956485108373226,0.6166693599392149,0.28768212922346253,0.0,0,,,,,structure-determined,89.03916770481788,0.7159279815239403,84.16102270306125,45.21714183386729,0.9997493126270397,0.1078826481266656
32,forming_scrap_generated -> forming_scrap_recycled,0.0059880628594834225,0.003848886544894722,0.09849218247378218,0.8974041265885092,0.00025480439281384533,0.0,1,observation_2022,2083.0,2083.0,0.0,structure-determined,2615.34342504354,0.6961137954615758,2537.9568052701293,753.2257032502552,0.9999991458970574,0.10274028015703447
33,forming_scrap_recycled -> remelting,0.003202189428843686,0.0,0.09740262867047925,0.9025973546885712,1.6640949596859672e-08,0.0,0,,,,,structure-determined,2619.962624047003,0.7060924812351096,2538.590608313344,753.6331678815461,0.9999991221846591,0.10797297571495505
