flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,observation_2022,164.00915,,,,16.400915,0.1
1,import_of_bauxite -> bauxite,observation_2022,3280.183,,,,328.0183,0.1
2,bauxite -> export_bauxite,observation_2022,6.0,,,,0.6000000000000001,0.10000000000000002
3,bauxite -> bauxite_non_aluminum_use,observation_2022,164.00915,,,,16.400915,0.1
4,bauxite -> bauxite_refining_to_alumina,observation_2022,3280.183,,,,328.0183,0.1
6,bauxite_refining_to_alumina -> waste_bauxite,observation_2022,1804.10065,,,,180.41006500000003,0.10000000000000002
7,bauxite_refining_to_alumina -> export_alumina,observation_2022,174.0,,,,17.400000000000002,0.1
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,observation_2022,744.628,,,,74.4628,0.09999999999999999
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,observation_2022,557.45435,,,,55.745435,0.1
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,observation_2022,1352.934,,,,135.2934,0.09999999999999999
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,observation_2022,528.7105257,,,,52.871052569999996,0.1
12,primary_smelting_hall_hauroult_to_aluminum -> refining,observation_2022,332.2894743,,,,33.22894743,0.09999999999999999
13,import_unwrought_aluminum_ingot -> remelting,observation_2022,2829.794168,,,,282.9794168,0.1
14,import_unwrought_aluminum_ingot -> refining,observation_2022,1320.205832,,,,132.0205832,0.09999999999999999
16,remelting -> wrought_aluminum_ingot,observation_2022,6224.75,,,,622.475,0.1
18,refining -> cast_aluminum_ingot,observation_2022,2490.138,,,,249.0138,0.1
25,import_scrap -> eol_scrap_generated,observation_2022,685.0,,,,68.5,0.1
26,eol_scrap_generated -> export_eol_scrap,observation_2022,2000.0,,,,100.0,0.05
28,eol_scrap_generated -> eol_scrap_recycled,observation_2022,1590.0,,,,159.0,0.1
32,forming_scrap_generated -> forming_scrap_recycled,observation_2022,2083.0,,,,208.3,0.1
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,observation_2022,300.0,,,,30.0,0.1
131,import_mill_semifinished_products -> rolling,observation_2022,1460.0,,,,146.0,0.1
132,import_mill_semifinished_products -> extrusion,observation_2022,44.39,,,,4.439,0.1
136,import_mill_semifinished_products -> foil,observation_2022,148.0,,,,14.8,0.1
138,import_mill_semifinished_products -> wire,observation_2022,7.16,,,,0.7160000000000001,0.1
140,import_mill_semifinished_products -> powerder_paste,observation_2022,18.6,,,,1.8600000000000003,0.1
142,rolling -> sheet_plate,observation_2022,4002.691813,,,,400.2691813,0.1
144,rolling -> export_milling_semifinished_products,observation_2022,826.6,,,,82.66000000000001,0.1
147,extrusion -> extruded_products,observation_2022,2873.886133,,,,287.38861330000003,0.1
148,extrusion -> export_milling_semifinished_products,observation_2022,51.1,,,,5.11,0.1
152,drawing -> export_milling_semifinished_products,observation_2022,8.36,,,,0.836,0.1
155,other_milling_processes -> forging_impacts,observation_2022,149.1596564,,,,14.91596564,0.1
157,other_milling_processes -> export_milling_semifinished_products,observation_2022,65.8,,,,6.58,0.1
211,building_construction -> consumption_building_construction,observation_2022,1405.574107,,,,140.5574107,0.1
213,transportation_auto -> consumption_transportation_auto,observation_2022,1737.166733,,,,173.71667330000002,0.10000000000000002
215,transportation_other -> consumption_transportation_other,observation_2022,918.4631329,,,,91.84631329000001,0.1
217,machine_industry -> consumption_machine_industry,observation_2022,736.4747668,,,,73.64747668,0.09999999999999999
219,electrical_equipment -> consumption_electrical_equipment,observation_2022,957.242923,,,,95.7242923,0.1
221,consumer_durables -> consumption_consumer_durables,observation_2022,1465.714087,,,,146.5714087,0.1
223,container_packages -> consumption_container_packages,observation_2022,1699.839931,,,,169.98399310000002,0.10000000000000002
225,other_end_uses -> consumption_other_end_uses,observation_2022,268.7354505,,,,26.873545050000004,0.1
226,eol_scrap_building_construction -> eol_scrap_generated,observation_2022,294.296832,,,,29.4296832,0.1
227,eol_scrap_transportation_auto -> eol_scrap_generated,observation_2022,1401.194965,,,,140.1194965,0.1
228,eol_scrap_transportation_other -> eol_scrap_generated,observation_2022,565.5488941,,,,56.55488941,0.1
229,eol_scrap_machine_industry -> eol_scrap_generated,observation_2022,282.9262632,,,,28.29262632,0.1
230,eol_scrap_electrical_equipment -> eol_scrap_generated,observation_2022,378.8634735,,,,37.88634735,0.1
231,eol_scrap_consumer_durables -> eol_scrap_generated,observation_2022,944.0480768,,,,94.40480768,0.1
232,eol_scrap_container_packages -> eol_scrap_generated,observation_2022,1699.847102,,,,169.9847102,0.1
233,eol_scrap_other_end_uses -> eol_scrap_generated,observation_2022,262.6861837,,,,26.268618370000002,0.1
