flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: Other literature,obs: USGS value 1,obs: USGS value 2,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_mass_balance
0,bauxite_mining,bauxite,230.19121223733916,129.48898670238404,331.01836578583567,201.52937908345163,0.8754868490620933,,229.0,229.0,2,structure-determined,,,,,0.4325606940972687,0.5674393059027313
1,import_of_bauxite,bauxite,4353.063388165134,4065.078368735609,4639.301649123643,574.2232803880343,0.13191245547887048,,4350.0,4360.0,2,structure-determined,,,,,0.0815357360771877,0.9184642639228124
2,bauxite,export_bauxite,32.848293606733804,28.295306188120232,37.25152129341936,8.956215105299126,0.2726538922394169,,29.0,40.0,2,multi-source,,,,,0.9975344524541856,0.0024655475458143
3,bauxite,bauxite_non_aluminum_use,228.74016826102053,125.35816151250603,330.3427303717926,204.98456885928655,0.8961459214516887,,229.0,229.0,2,structure-determined,,,,,0.4325606940972687,0.5674393059027313
4,bauxite,bauxite_refining_to_alumina,4321.427506758122,4003.191474214028,4651.027329133668,647.83585491964,0.14991246617154014,,4321.0,4320.0,2,structure-determined,,,,,0.0007814279334188,0.9992185720665812
5,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1316.622748278202,1225.4076933280855,1407.3375536556737,181.92986032758813,0.13817918653274433,,1330.0,1300.0,2,structure-determined,,,,,0.166614166844158,0.833385833155842
6,bauxite_refining_to_alumina,waste_bauxite,2322.721112325833,1945.6253449563862,2691.284657401453,745.6593124450667,0.3210283440780406,,2377.0,2376.0,2,structure-determined,,,,,0.0048596169204534,0.9951403830795464
7,bauxite_refining_to_alumina,export_alumina,464.9366971130446,402.3554810724896,527.7241246960823,125.36864362359267,0.269646694705001,,481.0,450.0,2,multi-source,,,,,0.6474774502645477,0.3525225497354523
8,bauxite_refining_to_alumina,alumina_non_aluminum_use,779.6022355060929,630.0858794336725,923.8639362913318,293.7780568576593,0.37683070093680265,,781.0,,1,structure-determined,,,,,0.2453754779750514,0.7546245220249486
9,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,757.2796178534068,659.3842212094422,857.9296988817653,198.54547767232305,0.2621825188364666,,739.0,770.0,2,structure-determined,,,,,0.1156971957188625,0.8843028042811375
10,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,955.7347189898306,735.1054931100501,1290.1640468988319,555.0585537887818,0.5807663389852094,,1328.0,,1,structure-determined,,,,,0.0018014901781462,0.9981985098218538
11,primary_smelting_hall_hauroult_to_aluminum,remelting,818.359171735467,521.9011243810745,907.0925525129381,385.19142813186363,0.4706874944836275,,506.0,,1,structure-determined,,,,,0.0031411447188601,0.9968588552811398
12,primary_smelting_hall_hauroult_to_aluminum,refining,328.975147161368,117.62344246212561,418.11340324768236,300.4899607855567,0.9134123455172776,,235.0,,1,structure-determined,,,,,0.0095966507432098,0.9904033492567902
13,import_unwrought_aluminum_ingot,remelting,3589.4566386566103,3284.9703125054866,3902.7523414962575,617.7820289907709,0.17211018022549004,,3299.0,,1,structure-determined,,,,,0.260058503551584,0.7399414964484158
14,import_unwrought_aluminum_ingot,refining,1588.6313015175697,1442.9797858586946,1737.5693442258093,294.5895583671147,0.18543607826794206,,1531.0,,1,structure-determined,,,,,0.1134956167485754,0.8865043832514246
15,remelting,loss_remelting,144.23839580676898,55.242716794920135,345.90877473734474,290.66605794242463,2.015178110631649,,444.2105263157895,212.0,2,structure-determined,,,,,0.3377167664224373,0.6622832335775627
16,remelting,wrought_aluminum_ingot,9783.60607716317,8527.747280635384,10996.211924048308,2468.4646434129245,0.2523062175586565,,8440.0,,1,structure-determined,,,,,0.0004874229782098,0.9995125770217902
17,refining,loss_refining,83.79282081287526,25.146108595733693,178.12098238959896,152.97487379386527,1.825632223737714,,792.0,98.0,2,structure-determined,,,,,0.1340626208206202,0.8659373791793797
18,refining,cast_aluminum_ingot,2607.770010738942,2398.48829112685,2815.95499000853,417.4666988816798,0.1600857043230533,3177.0,2350.0,,2,structure-determined,,,,,0.0005216123326962,0.9994783876673036
19,alloying_element_si,remelting,336.278942201165,130.53480329730294,412.39687903205123,281.86207573474826,0.838179381348642,,231.0,,1,structure-determined,,,,,0.2591584617299868,0.7408415382700132
20,alloying_element_si,refining,137.40561887114228,38.198731793763365,194.74899659772765,156.5502648039643,1.1393294254638573,,110.0,,1,structure-determined,,,,,0.1079623035269377,0.8920376964730623
21,alloying_element_mg,remelting,83.4095645253188,21.891969872489426,124.66111558460544,102.76914571211601,1.2321026526990277,,70.53,,1,observation-driven,,,,,0.7895827306358225,0.2104172693641774
22,alloying_element_mg,refining,0.40020370693092533,0.02080188537346884,0.9477036560267901,0.9269017706533212,2.3160749253462147,,0.0,,1,observation-driven,,,,,0.99931761536736,0.0006823846326398
23,alloying_element_other,remelting,21.073139195087315,5.603218271734821,34.959946370478015,29.356728098743194,1.3930875617044751,,20.0,,1,observation-driven,,,,,0.9790208492562192,0.0209791507437806
24,alloying_element_other,refining,20.983419200211863,5.425194658568006,34.98167959231317,29.556484933745164,1.408563811823706,,20.0,,1,observation-driven,,,,,0.7854594244778622,0.2145405755221377
25,import_scrap,eol_scrap_generated,719.2325206212241,650.546711214571,790.728748471433,140.18203725686203,0.19490503173547036,,720.0,,1,observation-driven,,,,,0.6752747075735422,0.3247252924264576
26,eol_scrap_generated,export_eol_scrap,1572.366671214754,1420.3040832070783,1729.4502993745489,309.1462161674706,0.19661203829042964,,1570.0,,1,structure-determined,,,,,0.3042756791759951,0.6957243208240048
27,eol_scrap_generated,loss_eol_scrap,1791.9093606452143,922.4407553713335,2619.034430255978,1696.5936748846443,0.9468077527502565,,1555.0,,1,structure-determined,,,,,0.0081453536375739,0.9918546463624262
28,eol_scrap_generated,eol_scrap_recycled,2032.8399383943824,1738.3577064815472,2339.4802791055704,601.1225726240232,0.2957058060846707,,1727.0,,1,structure-determined,,,,,0.0112964939533377,0.9887035060466624
29,eol_scrap_recycled,remelting,1410.2131780322443,1011.9946248638701,1786.1416729156076,774.1470480517376,0.5489574626808917,,1070.0,,1,structure-determined,,,,,0.0005992856566254,0.9994007143433746
30,eol_scrap_recycled,refining,629.3626180727197,347.3203962289366,936.0991549326591,588.7787587037225,0.9355159359587069,,658.0,,1,structure-determined,,,,,0.001106063272429,0.998893936727571
31,forming_scrap_generated,loss_forming_scrap,69.25064570402911,20.117733104153785,145.7615198254169,125.64378672126313,1.8143337934819137,,87.0,,1,structure-determined,,,,,0.1651247321686649,0.8348752678313351
32,forming_scrap_generated,forming_scrap_recycled,2703.2408193743304,1536.8693197549362,3848.011194310985,2311.1418745560486,0.8549522698798867,,2665.0,,1,structure-determined,,,,,0.0001029820839572,0.9998970179160428
33,forming_scrap_recycled,remelting,2714.101530007373,1551.4159047304013,3857.9174640913075,2306.501559360906,0.8498213990375814,,2677.0,,1,structure-determined,,,,,9.496592777249876e-05,0.9999050340722276
34,forming_scrap_recycled,refining,0.44709675195825765,0.02343444046871311,0.9668936346964269,0.9434591942277137,2.110190221904806,,0.0,,1,observation-driven,,,,,0.9973096436576344,0.0026903563423655
35,fabrication_scrap_generated,loss_fabrication_scrap,40.144235768130585,11.680473311323322,82.95127614086587,71.27080282954255,1.775368280547079,,49.0,,1,structure-determined,,,,,0.0690958233095805,0.9309041766904194
36,fabrication_scrap_generated,fabrication_scrap_recycled,917.8542170559315,798.511862665995,1038.0871382012376,239.57527553524267,0.26101669642450814,,971.0,,1,structure-determined,,,,,0.0049190833507674,0.9950809166492324
37,fabrication_scrap_recycled,remelting,918.9439016903004,797.7477675595269,1039.8832293150988,242.1354617555719,0.26349319181528846,,922.0,,1,structure-determined,,,,,9.894358349859064e-05,0.9999010564165014
38,fabrication_scrap_recycled,refining,0.4444056540274259,0.02216864369654413,0.9656774852339178,0.9435088415373737,2.1230801925826674,,0.0,,1,observation-driven,,,,,0.9870534761014328,0.012946523898567
39,wrought_aluminum_ingot,1xxx,1504.1632073682808,675.6248693876264,2353.478190329005,1677.8533209413786,1.1154729172487805,2336.0,1728.0,,2,structure-determined,,,,,0.000190444323239,0.999809555676761
40,wrought_aluminum_ingot,2xxx,159.68154381487204,85.00270041844647,205.39400475743915,120.39130433899268,0.7539462699494515,85.0,238.0,,2,structure-determined,,,,,0.0003972881480514,0.9996027118519486
41,wrought_aluminum_ingot,3xxx,1821.978375819388,910.6799672463745,2906.451186321684,1995.7712190753095,1.0953868857953721,1256.0,2848.0,,2,structure-determined,,,,,0.0002714649746815,0.9997285350253184
42,wrought_aluminum_ingot,4xxx,84.48113892301774,40.94647505229219,119.03635513057543,78.08988007828324,0.9243469142791927,50.0,117.0,,2,structure-determined,,,,,0.0003725265491157,0.9996274734508842
43,wrought_aluminum_ingot,5xxx,2366.9006906659506,990.2142832786318,3904.968781061656,2914.7544977830244,1.2314646361284087,3047.0,2762.0,,2,structure-determined,,,,,0.0001965670155705,0.9998034329844294
44,wrought_aluminum_ingot,6xxx,3150.4088359074103,2126.491136989293,4206.707004269903,2080.2158672806104,0.6603002897817378,3771.0,3218.0,,2,structure-determined,,,,,0.0002252940493155,0.9997747059506844
45,wrought_aluminum_ingot,7xxx,521.3507569431644,332.4425949006632,610.010815374933,277.5682204742698,0.5324020667040659,254.0,887.0,,2,structure-determined,,,,,0.0004678204308134,0.9995321795691864
46,wrought_aluminum_ingot,8xxx,77.21318624921406,40.04008064370857,122.20100601097931,82.16092536727075,1.0640789398599264,267.0,94.0,,2,structure-determined,,,,,0.0001618148051436,0.9998381851948565
