flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: observation_2022,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_prior,share_mass_balance,share_allocation,share_aggregate_observations
0,bauxite_mining,bauxite,198.59979736741835,120.46731520665918,275.25822299942337,154.7909077927642,0.7794112070839337,164.00915,1,structure-determined,229.89165605096332,63.19658473332025,0.6073902595817462,-0.4923622749093831,0.2279305779806097,0.3653938167114672,0.406675605307923,0.0,0.0
1,import_of_bauxite,bauxite,3720.2488506788286,3511.4122237417782,3932.116232934803,420.70400919302483,0.11308491073554382,3280.183,1,structure-determined,4353.45381563838,181.6023479782521,0.6533382244297921,-3.4854173490032108,0.0367352737830747,0.3407823352214888,0.6224823909954365,0.0,0.0
2,bauxite,export_bauxite,7.0950223243859405,5.97536846747855,8.190898229902562,2.215529762424012,0.3122653687514312,6.0,1,observation-driven,32.82196449108579,2.757666018073857,0.9577489803512974,-9.331065037833936,0.9554193944947176,0.0442801802265518,0.0002044616276294,9.596365110140844e-05,0.0
3,bauxite,bauxite_non_aluminum_use,199.3443858083044,133.73601673167698,262.78442105712116,129.04840432544418,0.6473641271720642,164.00915,1,structure-determined,228.35278509822305,63.80389905484051,0.7374747358805128,-0.4590297017711262,0.1925740190489319,0.3099042425376206,0.3435921430865069,0.1539295953269406,0.0
4,bauxite,bauxite_refining_to_alumina,3695.0324629150555,3473.005011711477,3918.9602366202694,445.9552249087924,0.12069047549232435,3280.183,1,structure-determined,4323.083475070617,204.95452383237892,0.6934551905892226,-3.066502690147451,0.0003399479369234,0.339955309265542,0.659252060538821,0.0004526822587133,0.0
5,import_alumina,primary_smelting_hall_hauroult_to_aluminum,1298.3700717328961,1194.0042303793946,1405.9173089793653,211.91307859997073,0.16321469757627471,,0,structure-determined,1316.6145607598844,56.47715628035028,0.0858050881669461,-0.3151137440416946,0.0,0.4320566201134105,0.5679433798865894,0.0,0.0
6,bauxite_refining_to_alumina,waste_bauxite,2070.30050895348,1858.934961994587,2281.6504795159917,422.71551752140476,0.20418075332217545,1804.10065,1,structure-determined,2320.9555161767867,236.55698831640095,0.7975273545417567,-1.060319740143408,0.0020670183101442,0.3313202337138953,0.63737380929502,0.0292389386809405,0.0
7,bauxite_refining_to_alumina,export_alumina,225.87348032581073,196.21015992179258,256.69221553604314,60.482055614250555,0.26776961831467927,174.0,1,observation-driven,464.771395227157,39.38436603357752,0.8498750692595872,-6.055792666832303,0.65102861402353,0.1865295346030444,0.12983383762359,0.0326080137498355,0.0
8,bauxite_refining_to_alumina,alumina_non_aluminum_use,734.97054621542,649.0129310383805,823.2635843812454,174.2506533428649,0.23708521959163245,744.628,1,structure-determined,779.4436423141839,91.43173699477364,0.7630340353117259,-0.4773690948674732,0.1260360814118006,0.3148046259809917,0.460323279027757,0.0988360135794506,0.0
9,bauxite_refining_to_alumina,primary_smelting_hall_hauroult_to_aluminum,650.0178554197819,582.1845004288652,718.6105677325893,136.42606730372404,0.20988049199913134,557.45435,1,structure-determined,758.0083207957487,61.8228600429095,0.6842417102333309,-1.7419849872981268,0.0562495994420676,0.378788532839676,0.5399552369738796,0.0250066307443766,0.0
10,primary_smelting_hall_hauroult_to_aluminum,waste_alumina,978.8155545733313,846.5063661888032,1113.7989328131514,267.2925666243482,0.27307756336265193,1352.934,1,structure-determined,971.9884845900452,174.8128400313935,0.8475333922585111,0.0374231316671106,0.0009466902957552,0.3848851324545824,0.6057060527746857,0.0084621244749767,0.0
11,primary_smelting_hall_hauroult_to_aluminum,remelting,687.0536630389081,584.1344193957793,790.6820079533971,206.54758855761781,0.30062802903056635,528.7105257,1,structure-determined,790.3914932944954,127.5999621601746,0.8284087303462293,-0.8043363373643283,0.0013865690117073,0.3503910185013048,0.5410217607727135,0.010866565038324,0.0963340866759505
12,primary_smelting_hall_hauroult_to_aluminum,refining,279.22695571879274,184.4074924682515,374.1700482076144,189.7625557393629,0.6795997014359576,332.2894743,1,structure-determined,313.1389931216936,99.9526745216045,0.7674758620011942,-0.3366065924185519,0.0024296980579693,0.3656507709173033,0.5450599951132732,0.020180692650708,0.0666788432607462
13,import_unwrought_aluminum_ingot,remelting,2995.290649370123,2825.2465835943876,3160.767181431016,335.52059783662844,0.11201604021539104,2829.794168,1,structure-determined,3592.2142315800734,193.3548994249822,0.801923790960614,-3.088237835184109,0.1439430436954887,0.2746041804947519,0.4301474583218934,0.0647382612494701,0.0865670562383956
14,import_unwrought_aluminum_ingot,refining,1382.2836466356543,1298.9456428702538,1468.2613923180936,169.31574944783983,0.12248987381131081,1320.205832,1,structure-determined,1589.0230093686755,92.1607092477402,0.7830011917081794,-2.239277051693624,0.0824364905266252,0.3661238258153644,0.4994641436802992,0.041184704729716,0.010790835247995
15,remelting,loss_remelting,89.65676862850442,6.60029435416265,223.53465976938412,216.93436541522146,2.4196094587581634,,0,structure-determined,159.91037255540172,97.58075228309572,0.6416022983501386,-0.6527396721548363,0.0,0.4410193418783898,0.3766694306637752,0.182311227457835,0.0
16,remelting,wrought_aluminum_ingot,8676.167471070374,7960.118767587556,9391.921986868776,1431.8032192812198,0.16502715329728174,8005.61,1,structure-determined,9778.56276562939,777.4528101134325,0.7833558420009499,-1.4170424125252938,0.0002559175240874,0.3279235899858519,0.6717773119900913,4.318049996919302e-05,0.0
17,refining,loss_refining,87.926765529482,26.82327463801625,149.80943211285276,122.98615747483652,1.398734011586029,,0,structure-determined,89.07317259744157,52.077583598075535,0.6527784899005004,-0.02730467370211,0.0,0.385896508276374,0.4184216500884556,0.1956818416351703,0.0
18,refining,cast_aluminum_ingot,2449.693071314805,2291.9552701147136,2605.728185205571,313.7729150908576,0.12808662389792722,2490.138,1,structure-determined,2607.210044408985,131.399744943028,0.632930999131801,-1.2029890754698822,0.0002477926082645,0.3907169785005146,0.6088785498477225,0.0001566790434983,0.0
19,alloying_element_si,remelting,388.8108160551592,235.19326182858606,549.0508845816577,313.8576227530716,0.807224515864666,,0,structure-determined,319.23877033415454,92.99206685655928,0.2793779697870286,0.76278471398944,0.0,0.4480192677799602,0.3636589284888492,0.1883218037311906,0.0
20,alloying_element_si,refining,177.01742170797917,102.11645693961997,253.533893640865,151.41743670124504,0.855381550811616,,0,structure-determined,131.39093922059712,53.7558867456049,0.4786845255738124,0.8546273345142975,0.0,0.4003590182949709,0.4553366731967995,0.1443043085082295,0.0
21,alloying_element_mg,remelting,111.22460742113948,43.58085347358821,177.86071312538343,134.27985965179522,1.2072855347860174,,0,prior-informed,80.73564793856336,35.185223418934285,0.0465895593411195,0.856445092572575,0.0,0.8416254688307764,0.1395158232908269,0.0188587078783968,0.0
22,alloying_element_mg,refining,0.4422934216242517,0.033535823905347394,1.0514754375369264,1.017939613631579,2.3015029477340154,,0,prior-informed,0.4257122277430329,0.3339866354713856,0.3440446364363384,0.1290954372637656,0.0,0.9503217433020869,0.0001431876031288,0.0495350690947843,0.0
23,alloying_element_other,remelting,22.58050983852447,7.038456107205908,38.86300688109118,31.82455077388527,1.4093814090764947,,0,structure-determined,20.86220822101034,10.410000763705632,0.3910029362918837,0.1722708911498013,0.0,0.4921245174078917,0.0077282633855417,0.5001472192065666,0.0
24,alloying_element_other,refining,26.525074988070365,10.069231466696893,42.32249163979015,32.25326017309326,1.2159535906156398,,0,structure-determined,20.7178737267433,10.345596927301678,0.3773167994074071,0.5491815268947948,0.0,0.4853473105173485,0.0640895929936274,0.450563096489024,0.0
25,import_scrap,eol_scrap_generated,710.3026727056639,657.8848233773112,762.686819973482,104.80199659617074,0.1475455473044499,685.0,1,prior-informed,719.2217609663195,44.30134096525404,0.6333005931952327,-0.2003917177341779,0.4216814514143063,0.3813860545513592,0.1969324940343345,0.0,0.0
26,eol_scrap_generated,export_eol_scrap,1736.8095185610866,1606.8014783458636,1861.6503323173392,254.8488539714756,0.14673391137481384,2000.0,1,structure-determined,1572.61520364406,95.28251039432442,0.5354525874408138,1.719194570071955,0.1109352031382203,0.4120742310113107,0.4416529282963276,0.0353376375541411,0.0
27,eol_scrap_generated,loss_eol_scrap,1765.7595924617453,1311.2855428106984,2217.180946849539,905.8954040388405,0.5130343948894427,,0,structure-determined,1790.146797151055,534.4156890375746,0.816107762078878,-0.0451513141648246,0.0,0.3856347258431167,0.5936678208620472,0.0206974532948361,0.0
28,eol_scrap_generated,eol_scrap_recycled,1934.265342183398,1725.4880257102807,2134.3930367549833,408.90501104470263,0.21140068124424483,1590.0,1,structure-determined,2033.860680524858,187.1356092894856,0.692269422085303,-0.5358569275635955,0.0070945382973005,0.3658579850918633,0.6242580049995683,0.0027894716112678,0.0
29,eol_scrap_recycled,remelting,1294.6360454241756,1089.4547039166184,1502.5677958939332,413.11309197731475,0.31909592926710306,,0,structure-determined,1404.576836394358,243.2560066746475,0.8095081159500231,-0.4512509809575634,0.0,0.3607264693176786,0.6372021185151695,0.0020714121671519,0.0
30,eol_scrap_recycled,refining,642.2157066750675,485.07175418629726,797.5607628419745,312.4890086556772,0.4865795174545345,,0,structure-determined,632.795433638091,186.62411379845733,0.8211085967579208,0.0485161126509781,0.0,0.3698379845398336,0.6228926005322328,0.0072694149279335,0.0
31,forming_scrap_generated,loss_forming_scrap,62.327056923956235,18.609017674194348,109.39380221772572,90.78478454353137,1.4565870590407588,,0,structure-determined,72.9913406393503,43.48044643549351,0.7146564639621285,-0.2357898388998627,0.0,0.2542652924522865,0.506375634270219,0.2393590732774944,0.0
32,forming_scrap_generated,forming_scrap_recycled,2295.0445481169136,1697.083463798615,2901.2025010707976,1204.1190372721826,0.5246604203217595,2083.0,1,structure-determined,2700.7063515181785,732.2215383684215,0.8259923359115946,-0.5518537501786127,5.803838600752456e-05,0.2374363106326836,0.7623648071257435,0.0001408438555653,0.0
33,forming_scrap_recycled,remelting,2301.2660837818294,1705.8377652614736,2911.4638348846843,1205.6260696232107,0.5238968575254549,,0,structure-determined,2708.0352352852497,732.2067849349634,0.8256418630524179,-0.5517970717862276,0.0,0.2393301970240957,0.7606697911124387,1.1863465576883496e-08,0.0
34,forming_scrap_recycled,refining,0.46243606168176343,0.037640210249935274,1.1011586132021196,1.0635184029521842,2.2998171878820086,,0,prior-informed,0.464025743150689,0.3452695562710364,0.3265349030589431,0.067760624278087,0.0,0.9993058767390082,0.0005165608459064,0.0001775624150852,0.0
35,fabrication_scrap_generated,loss_fabrication_scrap,37.68228897599724,13.589637925009926,62.31235590355201,48.722717978542086,1.2929872176708095,,0,structure-determined,42.33424197502519,24.586037510787545,0.7405408810137183,-0.1843925128961121,0.0,0.3684576040018145,0.4441817057431896,0.1873606902549957,0.0
