from_node,to_node,pub_median,pub_ci_lo,pub_ci_hi,pub_ci_width,pub_sd,rev_median,rev_ci_lo,rev_ci_hi,rev_ci_width,ci_ratio_rev_over_pub
Bauxite mining,Bauxite,213.2,204.4,213.2,8.8,2.64,198.6,120.5,275.3,154.8,17.52
Import of bauxite,Bauxite,3608.2,3588.4,3608.2,19.8,5.87,3720.2,3511.4,3932.1,420.7,21.2
Bauxite,Export bauxite,5.4,5.4,5.6,0.2,0.05,7.1,6.0,8.2,2.2,11.35
Bauxite,Bauxite non-aluminum use,147.6,147.6,157.0,9.4,2.81,199.3,133.7,262.8,129.0,13.69
Bauxite,Bauxite refining (to alumina),3669.2,3651.5,3686.3,34.8,8.87,3695.0,3473.0,3919.0,446.0,12.82
Import alumina,Primary smelting (Hall-Hauroult to aluminum),1350.2,1327.7,1373.4,45.6,11.71,1298.4,1194.0,1405.9,211.9,4.64
Bauxite refining (to alumina),Waste bauxite,2240.3,2225.3,2255.0,29.7,7.61,2070.3,1858.9,2281.7,422.7,14.23
Bauxite refining (to alumina),Export alumina,144.1,135.3,152.9,17.6,4.48,225.9,196.2,256.7,60.5,3.44
Bauxite refining (to alumina),Alumina non-aluminum use,667.5,650.5,684.0,33.5,8.56,735.0,649.0,823.3,174.3,5.2
Bauxite refining (to alumina),Primary smelting (Hall-Hauroult to aluminum),617.4,605.1,629.4,24.3,6.19,650.0,582.2,718.6,136.4,5.62
Primary smelting (Hall-Hauroult to aluminum),Waste Alumina,1269.9,1250.4,1289.6,39.2,9.99,978.8,846.5,1113.8,267.3,6.82
Primary smelting (Hall-Hauroult to aluminum),Remelting,465.4,447.4,482.7,35.3,8.98,687.1,584.1,790.7,206.5,5.86
Primary smelting (Hall-Hauroult to aluminum),Refining,232.6,232.6,246.4,13.8,4.06,279.2,184.4,374.2,189.8,13.78
Import unwrought aluminum ingot,Refining,1583.8,1564.0,1604.1,40.1,10.26,1382.3,1298.9,1468.3,169.3,4.22
Remelting,Loss remelting,226.8,205.4,248.3,42.9,11.01,89.7,6.6,223.5,216.9,5.06
Remelting,Wrought aluminum ingot,8092.2,8074.0,8092.2,18.2,5.39,8676.2,7960.1,9391.9,1431.8,78.69
Refining,Loss refining,186.4,174.5,198.6,24.1,6.26,87.9,26.8,149.8,123.0,5.1
Refining,Cast aluminum ingot,2738.2,2721.9,2754.2,32.3,8.36,2449.7,2292.0,2605.7,313.8,9.72
Alloying element - Si,Remelting,112.2,95.3,129.3,33.9,8.77,388.8,235.2,549.1,313.9,9.25
Alloying element - Si,Refining,44.3,30.7,58.1,27.5,7.03,177.0,102.1,253.5,151.4,5.52
Alloying element - Mg,Remelting,41.4,24.6,57.3,32.7,8.29,111.2,43.6,177.9,134.3,4.11
Alloying element - Mg,Refining,11.1,4.8,17.5,12.7,3.28,0.4,0.0,1.1,1.0,0.08
Alloying element - Other,Remelting,0.4,0.0,1.4,1.4,0.4,22.6,7.0,38.9,31.8,23.52
Alloying element - Other,Refining,0.0,0.0,1.2,1.2,0.36,26.5,10.1,42.3,32.3,27.3
Import scrap,EOL scrap (generated),622.3,598.4,646.3,47.9,12.29,710.3,657.9,762.7,104.8,2.19
EOL scrap (generated),Export EOL scrap,1738.4,1711.1,1764.8,53.7,13.61,1736.8,1606.8,1861.7,254.8,4.75
EOL scrap (generated),Loss EOL scrap,2216.9,2181.4,2253.5,72.1,18.43,1765.8,1311.3,2217.2,905.9,12.56
EOL scrap (generated),EOL scrap (recycled),1913.4,1885.3,1941.4,56.1,14.36,1934.3,1725.5,2134.4,408.9,7.29
EOL scrap (recycled),Remelting,1205.6,1182.3,1229.5,47.2,12.09,1294.6,1089.5,1502.6,413.1,8.75
EOL scrap (recycled),Refining,707.5,691.5,724.1,32.6,8.31,642.2,485.1,797.6,312.5,9.59
Forming scrap (generated),Loss forming scrap,12.5,0.0,25.9,25.9,6.65,62.3,18.6,109.4,90.8,3.5
Forming scrap (generated),Forming scrap (recycled),2257.6,2224.9,2288.7,63.8,16.12,2295.0,1697.1,2901.2,1204.1,18.88
Forming scrap (recycled),Remelting,2257.5,2225.0,2288.8,63.7,16.07,2301.3,1705.8,2911.5,1205.6,18.92
Forming scrap (recycled),Refining,0.0,0.0,2.2,2.2,0.65,0.5,0.0,1.1,1.1,0.49
Fabrication scrap (generated),Loss fabrication scrap,42.6,25.2,59.9,34.6,8.87,37.7,13.6,62.3,48.7,1.41
Fabrication scrap (generated),Fabrication scrap (recycled),922.7,903.1,941.3,38.2,9.71,882.9,767.8,997.5,229.7,6.01
Fabrication scrap (recycled),Remelting,594.2,578.0,610.1,32.1,8.23,887.5,772.2,1000.9,228.7,7.13
Fabrication scrap (recycled),Refining,328.7,311.4,345.7,34.2,8.75,0.6,0.1,1.3,1.2,0.04
Wrought aluminum ingot,1xxx,1047.8,1039.8,1055.6,15.7,4.0,1411.5,909.8,1919.4,1009.6,64.13
Wrought aluminum ingot,2xxx,131.2,123.5,138.6,15.1,3.89,155.1,86.4,225.2,138.8,9.19
Wrought aluminum ingot,3xxx,1675.1,1663.8,1686.3,22.5,5.65,1629.6,997.4,2234.5,1237.1,55.1
Wrought aluminum ingot,4xxx,0.0,0.0,5.4,5.4,1.61,93.1,46.6,141.2,94.6,17.48
Wrought aluminum ingot,5xxx,1909.7,1884.9,1935.7,50.7,12.86,2089.2,1385.1,2794.9,1409.8,27.79
Wrought aluminum ingot,6xxx,2694.8,2665.0,2724.0,58.9,15.07,2773.8,2192.6,3387.2,1194.7,20.27
Wrought aluminum ingot,7xxx,634.2,623.4,644.8,21.3,5.41,484.6,338.1,631.1,293.0,13.73
Wrought aluminum ingot,8xxx,0.0,0.0,4.3,4.3,1.27,69.7,30.2,111.4,81.2,19.02
Cast aluminum ingot,36x,139.8,128.1,151.4,23.3,5.99,131.2,108.1,154.1,46.0,1.98
Cast aluminum ingot,38x,1364.7,1357.6,1372.1,14.6,3.69,1189.5,1063.5,1313.9,250.4,17.18
Cast aluminum ingot,2xx,5.6,4.1,7.2,3.1,0.78,5.9,5.1,6.7,1.6,0.53
Cast aluminum ingot,3xx,593.0,585.0,600.9,15.9,4.06,546.4,486.1,607.2,121.1,7.61
Cast aluminum ingot,4xx,6.6,4.2,9.1,4.9,1.25,8.0,6.9,9.1,2.2,0.44
Cast aluminum ingot,5xx,37.6,29.6,45.4,15.8,4.04,44.8,38.6,50.9,12.3,0.78
Cast aluminum ingot,7xx,4.0,1.0,7.1,6.1,1.56,8.1,6.9,9.2,2.3,0.37
Cast aluminum ingot,Other,302.0,296.5,307.5,11.0,2.79,267.1,233.9,300.7,66.7,6.09
36x,die cast,139.8,128.1,151.4,23.3,5.99,131.1,108.1,154.1,46.0,1.97
38x,die cast,1364.7,1357.6,1372.1,14.6,3.69,1194.1,1067.6,1320.7,253.1,17.36
2xx,sand cast,4.0,3.0,4.9,1.9,0.49,1.9,1.6,2.2,0.7,0.34
3xx,sand cast,198.2,192.4,203.9,11.5,2.93,187.9,160.0,216.2,56.2,4.88
4xx,sand cast,4.7,3.3,6.2,2.9,0.72,2.7,2.3,3.1,0.9,0.3
