flow_idx,from,to,true_value,observed,coverage,frequency,spatial_boundary,sigma_rss,sigma_coverage,sigma_frequency,sigma_spatial,sigma_indep_eff,ratio_rss_over_indep
0,Iron Ore,BF,120.0,129.76845586890784,1,1,1,11.238277939235399,6.48842279344539,6.48842279344539,6.48842279344539,3.7460926464118,2.9999999999999996
1,Iron Ore,DR,30.0,29.668165677189158,2,2,1,6.81579070132442,4.944694279531527,4.4502248515783736,1.4834082838594576,1.3535338073986607,5.0355526135129205
2,BF,BOF,80.0,84.14520664384443,1,2,2,17.40357588874285,4.207260332192221,12.621780996576664,11.219360885845925,3.7604775041386533,4.628022869326852
3,DR,EAF,28.0,31.41158687835398,3,3,2,12.58642945072487,8.899949615533627,7.852896719588495,4.1882115837805305,3.4129574515798784,3.687836613637986
4,Scrap,BOF,15.0,14.719015950331997,2,1,2,3.2266404735713765,2.4531693250553332,0.7359507975165996,1.9625354600442662,0.6634159573338247,4.863676307303174
5,Scrap,EAF,40.0,39.25076173776262,1,2,1,6.509002470989835,1.9625380868881308,5.887614260664393,1.9625380868881308,1.3507113463571068,4.818944098266987
6,BOF,Steel Out,90.0,98.37033227165321,1,1,1,8.519120672596785,4.91851661358266,4.91851661358266,4.91851661358266,2.839706890865595,2.9999999999999996
7,EAF,Steel Out,65.0,68.99066059159512,2,3,2,22.67847532970635,11.49844343193252,17.24766514789878,9.198754745546015,6.6309591257341,3.4200897486599517
8,BF,BF Losses,40.0,38.497681965008155,3,2,3,14.89627607724247,10.90767655675231,5.774652294751223,8.341164425751767,4.3533437883706645,3.4218009882508573
9,DR,DR Losses,2.0,2.0868096069737545,4,4,3,1.1977713520220394,0.8347238427895018,0.730383362440814,0.4521420815109802,0.34918634662043757,3.4301780800267263
10,BOF,BOF Losses,5.0,4.814632922875015,2,3,2,1.5826567397198552,0.8024388204791693,1.2036582307187538,0.6419510563833354,0.46275298487122063,3.4200897486599513
11,EAF,EAF Losses,3.0,4.388224859143138,3,3,4,2.1171890164705496,1.2433303767572224,1.0970562147857845,1.3164674577429414,0.6976178755787829,3.034883552423325
