,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[0],128.276,2.89,122.556,133.762,0.034,0.024,7321.0,5447.0,1.0
x[1],30.431,1.206,28.065,32.755,0.015,0.011,6055.0,5313.0,1.0
x[2],87.537,2.093,83.35,91.484,0.028,0.02,5396.0,5335.0,1.0
x[3],28.395,1.238,25.968,30.74,0.016,0.011,5904.0,4823.0,1.0
x[4],14.758,0.639,13.458,15.975,0.006,0.005,9976.0,5492.0,1.0
x[5],39.496,1.274,37.031,41.999,0.013,0.009,9351.0,5073.0,1.0
x[6],97.507,2.059,93.455,101.419,0.028,0.02,5525.0,5052.0,1.0
x[7],63.571,1.863,59.891,67.151,0.024,0.017,5812.0,5527.0,1.0
x[8],40.738,2.974,34.954,46.475,0.037,0.026,6589.0,5381.0,1.0
x[9],2.041,0.339,1.363,2.693,0.003,0.002,12987.0,5648.0,1.0
x[10],4.789,0.436,3.945,5.658,0.004,0.003,11683.0,5271.0,1.0
x[11],4.322,0.646,3.084,5.624,0.006,0.005,10128.0,5598.0,1.0
