,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[0],128.774,6.737,115.495,141.73,0.101,0.071,4431.0,4695.0,1.0
x[1],30.793,4.108,23.003,39.167,0.067,0.047,3769.0,3557.0,1.0
x[2],87.952,5.343,77.209,98.06,0.078,0.055,4701.0,5239.0,1.0
x[3],28.736,4.142,20.584,36.822,0.069,0.048,3677.0,3602.0,1.0
x[4],14.799,2.276,10.156,19.15,0.025,0.018,8157.0,5515.0,1.0
x[5],39.588,4.383,30.894,47.886,0.056,0.039,6210.0,5746.0,1.0
x[6],97.966,5.054,88.235,108.144,0.072,0.051,4936.0,5362.0,1.0
x[7],63.973,5.986,51.999,75.374,0.097,0.069,3787.0,4839.0,1.0
x[8],40.823,7.216,26.7,54.665,0.102,0.074,4972.0,4468.0,1.0
x[9],2.058,0.751,0.599,3.428,0.007,0.005,9758.0,3998.0,1.0
x[10],4.783,1.108,2.59,6.985,0.013,0.009,7250.0,4608.0,1.0
x[11],4.352,1.394,1.751,7.148,0.014,0.01,9579.0,4363.0,1.0
